챔피언명,직업군,포지션,티어,종합_점수,변화량,승률,포지션_사용률,픽률,밴률,KDA
아트록스,전사,탑,최상위,71.25,-3.39,48.84%,92.28%,7.01%,5.81%,1.85
아리,마법사,미드,최상위,77.12,-5.03,50.90%,95.23%,10.63%,6.47%,2.63
아칼리,암살자,미드,A,55.37,-5.08,48.18%,78.45%,5.99%,8.10%,2.3
아칼리,암살자,탑,C,36.35,-0.6,48.50%,20.39%,1.45%,8.10%,2.06
아크샨,원거리 딜러,미드,B,47.25,-1.5,50.15%,69.32%,2.88%,5.94%,2.16
아크샨,원거리 딜러,탑,C,37.24,0.83,50.87%,22.48%,0.96%,5.94%,1.89
알리스타,탱커,서포터,A,54.33,4.6,51.13%,95.57%,4.58%,1.43%,2.51
아무무,탱커,정글,B,44.96,-0.85,51.16%,66.72%,2.86%,2.10%,2.64
아무무,탱커,서포터,B,40.1,-1.92,51.50%,31.76%,1.10%,2.10%,2.08
애니비아,마법사,미드,A,50.85,-1.84,51.67%,79.48%,2.22%,2.59%,2.84
애니비아,마법사,서포터,D,24.49,-5.76,44.86%,12.07%,0.29%,2.59%,2.07
애니,마법사,미드,A,48.73,-8.33,50.61%,79.68%,2.93%,2.28%,2.34
애니,마법사,서포터,C,36.74,-3.16,50.33%,15.84%,0.60%,2.28%,2.27
아펠리오스,원거리 딜러,원거리 딜러,B,44.69,-23.49,47.44%,97.70%,9.01%,3.11%,1.95
애쉬,원거리 딜러,원거리 딜러,S,67.31,4.14,52.39%,85.21%,15.12%,5.70%,2.45
애쉬,원거리 딜러,서포터,C,37.02,1.58,47.67%,12.55%,2.14%,5.70%,2.06
아우렐리온 솔,마법사,미드,A,54,0.48,51.48%,87.38%,3.50%,5.20%,2.64
아지르,마법사,미드,A,47.51,0.27,48.12%,92.08%,4.37%,1.15%,2.09
바드,서포터,서포터,B,43.6,-2.68,49.55%,95.39%,2.14%,0.31%,2.88
벨베스,전사,정글,A,49.69,1.57,50.60%,89.84%,4.26%,6.09%,2.41
블리츠크랭크,탱커,서포터,최상위,79.03,4.56,50.96%,97.14%,8.78%,23.80%,2.37
브랜드,마법사,서포터,B,41.62,-3.46,49.16%,72.74%,2.96%,3.38%,1.75
브랜드,마법사,미드,B,40.08,5.34,50.52%,19.47%,0.72%,3.38%,2.06
브라움,서포터,서포터,B,47.38,0.89,49.83%,98.48%,3.10%,0.53%,2.79
케이틀린,원거리 딜러,원거리 딜러,B,46.61,-2.93,47.84%,94.39%,8.77%,6.08%,2.12
카밀,전사,탑,A,50.66,-0.83,50.52%,92.99%,3.26%,1.75%,1.94
카시오페아,마법사,미드,B,47.36,-1.15,51.45%,73.55%,2.30%,2.34%,2.16
카시오페아,마법사,탑,C,37.99,-1.37,52.33%,16.69%,0.53%,2.34%,1.95
