년월,평균기온(℃),최저기온(℃),최고기온(℃)
2011년 1월,-7.2,-17.8,0.3
2011년 2월,1.2,-9.2,13.2
2011년 3월,3.6,-5.5,16.8
2011년 4월,10.7,4.3,19
2011년 5월,17.9,8.5,31.2
2011년 6월,22,14.4,32.9
2011년 7월,24.6,18.9,34.1
2011년 8월,25.8,18.1,34.1
2011년 9월,21.8,10.3,32.4
2011년 10월,14.2,3.1,23.4
2011년 11월,10.7,-5.5,25.9
2011년 12월,-0.9,-10.6,9.1
2012년 1월,-2.8,-12.2,8.4
2012년 2월,-2,-17.1,12.1
2012년 3월,5.1,-5.7,16.2
2012년 4월,12.3,0.6,29.4
2012년 5월,19.7,12,29.3
2012년 6월,24.1,16.3,33.5
2012년 7월,25.4,18.5,33.2
2012년 8월,27.1,18.7,36.7
2012년 9월,21,12,29.5
2012년 10월,15.3,2.8,26
2012년 11월,5.5,-3,15.7
2012년 12월,-4.1,-14.5,8.3
2013년 1월,-3.4,-16.4,11.5
2013년 2월,-1.2,-15.8,13.9
2013년 3월,5.1,-4.4,23.8
2013년 4월,10,1.3,21.6
2013년 5월,18.2,7.9,31.8
2013년 6월,24.4,16.3,32.6
2013년 7월,25.5,20.5,31.3
2013년 8월,27.7,21.1,33.9
2013년 9월,21.8,10.9,31.1
2013년 10월,15.8,4.3,28.1
2013년 11월,6.2,-6.4,20.7
2013년 12월,-0.2,-9.8,11
2014년 1월,-0.7,-10.5,8.2
2014년 2월,1.9,-10.5,16.4
2014년 3월,7.9,-4.6,23.8
2014년 4월,14,2.3,26.2
2014년 5월,18.9,6.8,33.3
2014년 6월,23.1,17.3,31.1
2014년 7월,26.1,19.1,34.4
2014년 8월,25.2,18.3,35.8
2014년 9월,22.1,14.9,31.3
2014년 10월,15.6,2.7,29
2014년 11월,9,-3.1,22.9
2014년 12월,-2.9,-13.2,7.9
2015년 1월,-0.9,-9.8,9
2015년 2월,1,-13,13
2015년 3월,6.3,-6.9,21.9
2015년 4월,13.3,3.5,28.3
2015년 5월,18.9,8.3,32.2
2015년 6월,23.6,15.6,34.9
2015년 7월,25.8,18.2,36
2015년 8월,26.3,18.9,34.4
2015년 9월,22.4,14.2,31
2015년 10월,15.5,1.1,26.6
2015년 11월,8.9,-7.3,21
2015년 12월,1.6,-9.5,12.2
2016년 1월,-3.2,-18,9.5
2016년 2월,0.2,-10,14.4
2016년 3월,7,-7.5,21.4
2016년 4월,14.1,5.1,29.6
2016년 5월,19.6,8.9,31.9
2016년 6월,23.6,17.1,32.2
2016년 7월,26.2,19.8,34.1
2016년 8월,28,16.1,36.6
2016년 9월,23.1,14.3,31.1
2016년 10월,16.1,0.7,29
2016년 11월,6.8,-6.2,18.6
2016년 12월,1.2,-9.8,13.6
2017년 1월,-1.8,-12.6,11.4
2017년 2월,-0.2,-9.3,12.3
2017년 3월,6.3,-5.3,18.9
2017년 4월,13.9,3.1,27.8
2017년 5월,19.5,10,30.3
2017년 6월,23.3,14.5,34.1
2017년 7월,26.9,21.9,35.4
2017년 8월,25.9,16.1,35.3
2017년 9월,22.1,11.2,31.4
2017년 10월,16.4,2.5,29.4
2017년 11월,5.6,-6.6,18.4
2017년 12월,-1.9,-12.3,8.7
2018년 1월,-4,-17.8,8.7
2018년 2월,-1.6,-13.4,10.4
2018년 3월,8.1,-6.7,22.1
2018년 4월,13,0.1,26.3
2018년 5월,18.2,6.9,29.6
2018년 6월,23.1,16.3,32.9
2018년 7월,27.8,17.7,38.3
2018년 8월,28.8,20.2,39.6
2018년 9월,21.5,10.8,30.9
2018년 10월,13.1,0.7,25.6
2018년 11월,7.8,-3.1,19.4
2018년 12월,-0.6,-14.4,13.5
2019년 1월,-0.9,-10.1,8.5
2019년 2월,1,-10.2,14.5
2019년 3월,7.1,-1.7,17.6
2019년 4월,12.1,0.3,28.2
2019년 5월,19.4,8.4,33.4
2019년 6월,22.5,14.1,32.8
2019년 7월,25.9,19.3,36.1
2019년 8월,27.2,18.5,36.8
2019년 9월,22.6,13.6,30.5
2019년 10월,16.4,4.7,28.2
2019년 11월,7.6,-4.6,22.1
2019년 12월,1.4,-10.9,12.9
2020년 1월,1.6,-6.5,11.9
2020년 2월,2.5,-11.8,15.6
2020년 3월,7.7,-2.8,20.6
2020년 4월,11.1,1.9,23.8
2020년 5월,18,9.2,30
2020년 6월,23.9,14.8,35.4
2020년 7월,24.1,17.2,32.9
2020년 8월,26.5,21.5,34.5
2020년 9월,21.4,13.6,29.5
2020년 10월,14.3,3.2,23.6
2020년 11월,8,-3.6,20
2020년 12월,-0.3,-12.9,11.4
